Keys,"Українська [ua-UA]"
002_T,"Отримайте <sprite name=XP1> за кожну ВІДПЛАТУ <nobr>цього раунду.</nobr>"
004_B,"Якщо в цьому раунді ваш союзник на сусідній клітці стає метою атаки будь-якого ворога, замість цього ви стаєте метою цієї атаки, незалежно від її ДАЛЬНОСТІ."
007_B,"У наступних 6 випадках отримання шкоди від атак, націлених на вас, отримуйте властивість <nobr>ЩИТ <sprite name=Shield> *BShield*</nobr>"
013_B,"У цьому раунді додавайте <nobr>+1 АТАКА <sprite name=Attack></nobr> до всіх ваших атак."
015_B,"У наступних 3 випадках отримання вами шкоди замість цього не отримуйте шкоди."
016_B,"Якщо ви пересунулися по прямій лінії, виконайте дію"
022_T,"Убийте одного звичайного ворога, що перебуває на сусідній клітці, у стані ""<nobr>ОГЛУШЕННЯ <sprite name=Stun></nobr>""."
023_B,"Ви можете вважати всі дії ""<nobr>РУХ <sprite name=Move></nobr>"" діями ""<nobr>АТАКА <sprite name=Attack></nobr>"" з тими ж показниками."
026_B,"Додайте +3 <nobr>АТАКА <sprite name=Attack></nobr> до всіх ваших атак, спрямованих на ворогів із <nobr>РОЗЗБРОЄННЯМ <sprite name=Disarm></nobr>, <nobr>ПАРАЛІЧЕМ <sprite name=Immobilize></nobr> або <nobr>ОГЛУШЕННЯМ <sprite name=Stun></nobr> цього раунду."
030_T_1,"Створіть одну пошкоджувальну пастку (6 шкоди) на сусідній порожній клітині."
030_T_2,"Отримайте <sprite name=XP2>, коли ця пастка спрацює на ворога."
031_T,"ПРИКЛИКАТИ приманку"
037_B,"Один союзник на сусідній клітці може ВІДНОВИТИ <sprite name=Recover> усі карти зі своєї стопки ""Скидання""."
040_B,"У цьому раунді ви разом з усіма союзниками на сусідніх клітинах додаєте <nobr>+1 АТАКА <sprite name=Attack></nobr> до всіх ваших атак."
043_B_1,"Один союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr> може ВІДНОВИТИ <sprite name=Recover> 1 карту зі своєї стопки ""Скидання""."
043_B_2,"Замість цього він може ВІДНОВИТИ <sprite name=Recover> не більше 2 карт зі своєї стопки ""Скидання""."
043_T,"Створіть одну ушкоджувальну пастку (2 шкоди) з ефектом ""<nobr>ОТРУЄННЯ <sprite name=Poison></nobr>"" на сусідній порожній клітині."
044_T,"Під час ваших наступних 4 здібностей лікування додавайте <nobr>+2 ЛІКУВАННЯ <sprite name=Heal></nobr> до всіх дій лікування."
045_B,"Один союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> може ВІДНОВИТИ <sprite name=Recover> 1 карту зі своєї стопки ""Втрати""."
047_B,"Створіть одну пастку з ефектом ""<nobr>ОГЛУШЕННЯ <sprite name=Stun></nobr>"" на сусідній порожній клітині."
049_T,"ПРИКЛИКАТИ Бойового робота"
051_T,"Один союзник на сусідній клітині може <nobr>ВІДНОВИТИ <sprite name=Refresh></nobr> 1 свою витрачену карту <sprite name=InvSmallItem>."
052_T_1,"Убийте всіх ворогів у цільовій ЗОНІ, у яких поточна кількість ОЗ <nobr>менше або дорівнює 5</nobr>."
052_T_2,"Отримайте <sprite name=XP1> за кожного вбитого ворога."
053_B,"Наприкінці наступних ваших 4 ходів один союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> може ВІДНОВИТИ <sprite name=Recover> 1 карту зі своєї стопки ""Скидання""."
053_T,"Створіть одну ушкоджувальну пастку (4 шкоди) з ефектом ""<nobr>СУМ\'ЯТТЯ <sprite name=Muddle></nobr>"" на сусідній порожній клітині."
054_T,"Наприкінці ваших наступних 5 ходів виконуйте дію ""<nobr>АТАКА <sprite name=Attack>2,</nobr> <nobr>ДАЛЬНІСТЬ <sprite name=Range>5</nobr>""."
055_T,"ПРИКЛИКАТИ Робота-вбивцю"
057_T,"Усі покликані союзники в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> <nobr>можуть виконати</nobr>."
058_B_1,"У цьому раунді всі союзники на сусідніх клітинах додають <nobr>+2 АТАКА <sprite name=Attack></nobr> до всіх своїх атак."
058_B_2,"Усі союзники на сусідніх клітинах отримують по 2 шкоди."
058_T,"Отримайте 2 шкоди"
060_B,"Один союзник у межах ДАЛЬНОСТІ <nobr><sprite name=Range> 3</nobr> може вибрати будь-яку неспоряджену карту свого класу рівня, що менший або дорівнює його рівню, і додати її в свою руку. Цей ефект зберігається до кінця сценарію."
060_T,"Один союзник на сусідній клітці може ВІДНОВИТИ <sprite name=Recover> не більше 2 карт зі своєї стопки ""Втрати"", а потім покласти 2 карти в стопку ""Втрати""."
062_T,"Додатково цілями стають усі вороги <nobr>на шляху</nobr> до основної мети."
063_T,"вІДНОВИТИ <sprite name=Recover> усі ваші <nobr>втрачені карти.</nobr>"
066_B,"У наступних 2 випадках отримання вами шкоди замість цього <nobr>не отримуйте шкоди</nobr>"
069_T_1,"Під час ваших наступних 4 атак <nobr>додавайте +*TActive* АТАКА <sprite name=Attack>.</nobr>"
069_T_1_Alt,"Під час ваших наступних 4 атак <nobr>додавайте +2 АТАКА <sprite name=Attack>.</nobr>"
069_T_2,"Замість цього додавайте <nobr>+2 АТАКА <sprite name=Attack>.</nobr>"
071_T,"ПРИКЛИКАТИ загадкового компаньйона"
076_B_1,"тут Х - половина максимальної кількості ОЗ цього союзника <nobr>(з округленням донизу).</nobr>"
076_B_2,"Замість цього X - максимальна кількість ОЗ цього союзника."
079_B,"Для наступних 5 ближніх атак, націлених на вас, отримуйте властивість ""<nobr>ВІДПЛАТА <sprite name=Retaliate> *BRetaliate*.</nobr>"
080_B,"ПРИКЛИКАТИ Палаючого аватара"
